Capernaum,Alaa Chouchnieh
Amélie,Alain Floret
In the Name of the Father,Alan Amsby
In the Name of the Father,Alan Barry
Judgment at Nuremberg,Alan Baxter
Rush,Alan Bayer
Wild Tales,Alan Daicz
"Lock, Stock and Two Smoking Barrels",Alan Ford
Snatch,Alan Ford
2001: A Space Odyssey,Alan Gifford
It Happened One Night,Alan Hale
The Shining,Alan Harris
The Lord of the Rings: The Fellowship of the Ring,Alan Howard
The Lord of the Rings: The Return of the King,Alan Howard
Casino,Alan King
Citizen Kane,Alan Ladd
Rear Window,Alan Lee
The Lord of the Rings: The Fellowship of the Ring,Alan Lee
The Lord of the Rings: The Two Towers,Alan Lee
In the Name of the Father,Alan O'Connor
Aliens,Alan Polonsky
Dead Poets Society,Alan Pottinger
The Shawshank Redemption,Alan R. Kessler
Die Hard,Alan Rickman
Harry Potter and the Deathly Hallows: Part 2,Alan Rickman
Braveheart,Alan Tall
Coco,Alanna Ubach
Rush,Alastair Caldwell
The Intouchables,Alba Gaïa Bellugi
"The Good, the Bad and the Ugly",Alberigo Donadeo
City Lights,Albert Austin
The Gold Rush,Albert Austin
The Kid,Albert Austin
Finding Nemo,Albert Brooks
Taxi Driver,Albert Brooks
Scarface,Albert Carrier
Witness for the Prosecution,Albert Cavens
Before Sunset,Albert Delpy
Indiana Jones and the Last Crusade,Albert Evansky
No Country for Old Men,Albert Fry Jr.
Apocalypse Now,Albert Hall
Das Boot,Albert Kraml
Mad Max: Fury Road,Albert Lee
Schindler's List,Albert Misak
The 400 Blows,Albert Rémy
Casablanca,Alberto Morin
Gone with the Wind,Alberto Morin
Oppenheimer,Alden Ehrenreich
Once Upon a Time in the West,Aldo Berti
Ben-Hur,Aldo Cecconi
"The Good, the Bad and the Ugly",Aldo Giuffrè
Ben-Hur,Aldo Pini
For a Few Dollars More,Aldo Ricci
For a Few Dollars More,Aldo Sambrell
Once Upon a Time in the West,Aldo Sambrell
"The Good, the Bad and the Ugly",Aldo Sambrell
Ben-Hur,Aldo Silvani
Schindler's List,Aldona Grochal
The Dark Knight Rises,Aldous Davidson
The Departed,Alec Baldwin
Mr. Smith Goes to Washington,Alec Craig
To Be or Not to Be,Alec Craig
Aliens,Alec Gillis
Lawrence of Arabia,Alec Guinness
The Bridge on the River Kwai,Alec Guinness
Finding Nemo,Alec Medlock
A Clockwork Orange,Alec Wallis
Top Gun: Maverick,Alec Williams
The Secret in Their Eyes,Alejandro Abelenda
"Three Billboards Outside Ebbing, Missouri",Alejandro Barrios
The Secret in Their Eyes,Alejandro Pérez
Come and See,Aleksandr Berda
Come and See,Aleksandr Solopov
Come and See,Aleksandra Ravenskikh
Come and See,Aleksei Kravchenko
Snatch,Alex Andreas
Pan's Labyrinth,Álex Angulo
Some Like It Hot,Alex Ball
Catch Me If You Can,Alex Bisping
Inglourious Basterds,Alex Boden
Coco,Alex Castillo
The Silence of the Lambs,Alex Coleman
Léon: The Professional,Alex Dezen
Ford v Ferrari,Alex Gurney
"Lock, Stock and Two Smoking Barrels",Alex Hall
Catch Me If You Can,Alex Hyde-White
Indiana Jones and the Last Crusade,Alex Hyde-White
The Dark Knight Rises,Alex Kruz
Inception,Alex Lombard
Batman Begins,Alex Moggridge
The Dark Knight Rises,Alex Moore
Braveheart,Alex Norton
